Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_269_851,VSS,Metal1,498.4530,1081.4580,0.012137
FILLER_269_844,VSS,Metal1,493.0800,1081.9200,0.012137
FILLER_269_842,VSS,Metal1,492.2400,1081.9200,0.012137
FILLER_269_839,VSS,Metal1,490.2800,1081.9200,0.012137
FILLER_269_831,VSS,Metal1,486.0800,1081.9200,0.012137
FILLER_269_823,VSS,Metal1,481.6000,1081.9200,0.012137
FILLER_269_816,VSS,Metal1,477.6800,1081.9200,0.012126
FILLER_269_808,VSS,Metal1,474.3730,1081.4580,0.012121
FILLER_269_800,VSS,Metal1,468.7200,1081.9200,0.012118
FILLER_269_789,VSS,Metal1,462.5600,1081.9200,0.012112
FILLER_269_781,VSS,Metal1,458.0800,1081.9200,0.012099
FILLER_269_772,VSS,Metal1,453.2200,1081.5710,0.012094
FILLER_269_768,VSS,Metal1,450.8000,1081.9200,0.012085
FILLER_269_760,VSS,Metal1,447.4930,1081.4580,0.012085
FILLER_269_744,VSS,Metal1,440.6720,1081.3720,0.012080
FILLER_269_702,VSS,Metal1,415.0130,1081.4580,0.012077
FILLER_269_699,VSS,Metal1,411.8800,1081.9200,0.012077
FILLER_269_691,VSS,Metal1,408.8530,1081.4580,0.012077
FILLER_269_656,VSS,Metal1,387.8000,1081.9200,0.012071
FILLER_269_648,VSS,Metal1,384.7730,1081.4580,0.012071
FILLER_269_632,VSS,Metal1,377.9520,1081.3720,0.012071
FILLER_269_626,VSS,Metal1,371.4600,1081.5710,0.012071
FILLER_269_562,VSS,Metal1,352.0845,1081.2820,0.012071
FILLER_269_556,VSS,Metal1,332.2600,1081.5710,0.012071
FILLER_269_492,VSS,Metal1,312.8845,1081.2820,0.012071
FILLER_269_486,VSS,Metal1,293.0600,1081.5710,0.012070
FILLER_269_422,VSS,Metal1,273.6845,1081.2820,0.012070
FILLER_269_416,VSS,Metal1,253.8600,1081.5710,0.012070
FILLER_269_352,VSS,Metal1,234.4845,1081.2820,0.012070
FILLER_269_346,VSS,Metal1,214.6600,1081.5710,0.012070
FILLER_269_282,VSS,Metal1,195.2845,1081.2820,0.012069
FILLER_269_276,VSS,Metal1,175.4600,1081.5710,0.012069
FILLER_269_212,VSS,Metal1,156.0845,1081.2820,0.012069
FILLER_269_206,VSS,Metal1,136.2600,1081.5710,0.012069
FILLER_269_142,VSS,Metal1,116.8845,1081.2820,0.012069
FILLER_269_136,VSS,Metal1,97.0600,1081.5710,0.012069
FILLER_269_72,VSS,Metal1,77.6845,1081.2820,0.012068
FILLER_269_66,VSS,Metal1,57.8600,1081.5710,0.012068
FILLER_269_2,VSS,Metal1,38.4845,1081.2820,0.012068
FILLER_268_1907,VSS,Metal1,1088.3600,1074.0800,0.012226
FILLER_268_1905,VSS,Metal1,1087.5200,1074.0800,0.012226
FILLER_268_1889,VSS,Metal1,1081.8720,1074.6280,0.012226
FILLER_268_1857,VSS,Metal1,1068.3640,1074.6775,0.012226
FILLER_268_1851,VSS,Metal1,1057.4600,1074.4285,0.012226
FILLER_268_1787,VSS,Metal1,1038.0845,1074.7175,0.012226
FILLER_268_1781,VSS,Metal1,1018.2600,1074.4285,0.012226
FILLER_268_1717,VSS,Metal1,998.8845,1074.7175,0.012226
FILLER_268_1711,VSS,Metal1,979.0600,1074.4285,0.012226
FILLER_268_1647,VSS,Metal1,959.6845,1074.7175,0.012226
FILLER_268_1641,VSS,Metal1,939.8600,1074.4285,0.012226
FILLER_268_1577,VSS,Metal1,920.4845,1074.7175,0.012226
FILLER_268_1571,VSS,Metal1,900.6600,1074.4285,0.012226
FILLER_268_1507,VSS,Metal1,881.2845,1074.7175,0.012226
FILLER_268_1501,VSS,Metal1,861.4600,1074.4285,0.012226
FILLER_268_1437,VSS,Metal1,842.0845,1074.7175,0.012226
FILLER_268_1431,VSS,Metal1,822.2600,1074.4285,0.012226
FILLER_268_1367,VSS,Metal1,802.8845,1074.7175,0.012226
FILLER_268_1361,VSS,Metal1,783.0600,1074.4285,0.012226
FILLER_268_1297,VSS,Metal1,763.6845,1074.7175,0.012226
FILLER_268_1291,VSS,Metal1,743.8600,1074.4285,0.012225
FILLER_268_1227,VSS,Metal1,724.4845,1074.7175,0.012225
FILLER_268_1221,VSS,Metal1,704.6600,1074.4285,0.012225
FILLER_268_1157,VSS,Metal1,685.2845,1074.7175,0.012225
FILLER_268_1151,VSS,Metal1,665.4600,1074.4285,0.012225
FILLER_268_1087,VSS,Metal1,646.0845,1074.7175,0.012225
FILLER_268_1081,VSS,Metal1,626.2600,1074.4285,0.012225
FILLER_268_1017,VSS,Metal1,606.8845,1074.7175,0.012225
FILLER_268_1014,VSS,Metal1,588.2800,1074.0800,0.012225
FILLER_268_1006,VSS,Metal1,585.2530,1074.5415,0.012225
FILLER_268_990,VSS,Metal1,578.4320,1074.6280,0.012225
FILLER_268_982,VSS,Metal1,570.6400,1074.0800,0.012224
FILLER_268_947,VSS,Metal1,550.7600,1074.0800,0.012223
FILLER_268_943,VSS,Metal1,548.8000,1074.0800,0.012219
FILLER_268_927,VSS,Metal1,543.1520,1074.6280,0.012219
FILLER_268_895,VSS,Metal1,529.6440,1074.6775,0.012219
FILLER_268_887,VSS,Metal1,517.4400,1074.0800,0.012218
FILLER_268_877,VSS,Metal1,512.0200,1074.4285,0.012213
FILLER_268_874,VSS,Metal1,509.8800,1074.0800,0.012210
FILLER_268_866,VSS,Metal1,505.6800,1074.0800,0.012208
FILLER_268_856,VSS,Metal1,500.2600,1074.4285,0.012204
FILLER_268_814,VSS,Metal1,477.7330,1074.5415,0.012121
FILLER_268_807,VSS,Metal1,472.3600,1074.0800,0.012120
FILLER_268_804,VSS,Metal1,470.6800,1074.0800,0.012116
FILLER_268_802,VSS,Metal1,469.8400,1074.0800,0.012116
FILLER_268_764,VSS,Metal1,448.7400,1074.4285,0.012111
FILLER_268_756,VSS,Metal1,445.2530,1074.5415,0.012108
FILLER_268_748,VSS,Metal1,439.6000,1074.0800,0.012100
FILLER_268_741,VSS,Metal1,435.4000,1074.0800,0.012100
FILLER_268_737,VSS,Metal1,433.6200,1074.4285,0.012100
FILLER_268_734,VSS,Metal1,431.4800,1074.0800,0.012100
FILLER_268_732,VSS,Metal1,430.6400,1074.0800,0.012100
FILLER_268_723,VSS,Metal1,425.3200,1074.0800,0.012100
FILLER_268_721,VSS,Metal1,424.4800,1074.0800,0.012100
FILLER_268_713,VSS,Metal1,420.0000,1074.0800,0.012091
