net,length_um
net1059,198.24µm
net1885,198.24µm
net2611,198.24µm
net1025,198.16µm
net738,198.13µm
net3391,198.08µm
net1036,197.88µm
net1473,197.88µm
net3435,197.88µm
net2308,197.83µm
net3109,197.83µm
net99,197.78µm
net238,197.78µm
net388,197.78µm
net864,197.78µm
net2424,197.78µm
net3123,197.78µm
net96,197.68µm
net111,197.68µm
net2798,197.68µm
clknet_8_177__leaf_clk_IN,197.47µm
clknet_8_246__leaf_clk_IN,197.47µm
net1767,197.42µm
_04568_,197.32µm
u_core.u_master.u_slave.u_core.B4\[25\],197.22µm
net839,197.22µm
net241,197.17µm
net1360,197.17µm
net2438,197.17µm
net2466,197.17µm
net433,197.12µm
net1080,197.12µm
net2488,197.12µm
net78,196.76µm
net178,196.76µm
net1508,196.71µm
net1911,196.71µm
net2791,196.71µm
_06296_,196.66µm
net1116,196.66µm
net1675,196.66µm
u_core.u_master.u_slave.u_core.B4\[47\],196.61µm
net1137,196.61µm
net1259,196.61µm
net1596,196.61µm
net1844,196.61µm
net777,196.56µm
net2627,196.56µm
net2930,196.56µm
net1701,196.45µm
net452,196.4µm
net3464,196.3µm
net1687,196.2µm
net2739,196.2µm
net613,196.15µm
net701,196.15µm
net765,196.15µm
net2794,196.15µm
net442,196.1µm
net705,196.1µm
net1326,196.1µm
net3289,196.1µm
net805,196.05µm
net939,196.05µm
net1112,196.05µm
net1494,196.05µm
net1571,196.05µm
net1634,196.05µm
net1718,196.05µm
net2874,196.05µm
net3342,195.89µm
net2670,195.74µm
net2020,195.64µm
net703,195.59µm
net2003,195.59µm
net2417,195.59µm
net30,195.54µm
net168,195.54µm
net2038,195.54µm
net2915,195.54µm
net3252,195.54µm
net277,195.49µm
net1157,195.49µm
net1501,195.49µm
net2313,195.49µm
net2640,195.49µm
net1058,195.44µm
net1913,195.44µm
net2190,195.44µm
net410,195.26µm
clknet_8_236__leaf_clk_IN,195.23µm
net1661,195.13µm
net556,195.08µm
net1792,195.08µm
u_core.u_master.u_slave.u_core.B2\[43\],195.03µm
net1294,195.03µm
net2445,195.03µm
net47,194.98µm
net573,194.98µm
net719,194.98µm
net1066,194.98µm
_05930_,194.93µm
net357,194.93µm
net649,194.93µm
net758,194.93µm
net1527,194.93µm
net1822,194.93µm
net158,194.88µm
net505,194.88µm
net1167,194.88µm
net3234,194.88µm
net886,194.57µm
net2925,194.52µm
clknet_8_104__leaf_clk_IN,194.52µm
net2709,194.47µm
net3510,194.47µm
_07299_,194.42µm
net587,194.42µm
net1723,194.42µm
net2160,194.42µm
net2652,194.42µm
net3301,194.42µm
net2598,194.37µm
net3116,194.32µm
net33,194.09µm
net932,194.06µm
net3182,194.01µm
net763,193.96µm
net869,193.96µm
net2544,193.96µm
net821,193.91µm
net1349,193.91µm
net3001,193.91µm
net954,193.86µm
net1113,193.86µm
net1302,193.86µm
net1512,193.86µm
net1611,193.86µm
net2448,193.86µm
net53,193.81µm
net1067,193.81µm
net1992,193.81µm
net2433,193.81µm
net650,193.76µm
net3291,193.76µm
net3486,193.6µm
net1869,193.5µm
net3292,193.5µm
net1635,193.45µm
net1958,193.4µm
net2351,193.4µm
net727,193.35µm
net919,193.35µm
net368,193.3µm
net395,193.3µm
net432,193.3µm
net447,193.3µm
net846,193.3µm
net2878,193.3µm
u_core.u_master.u_slave.u_core.B2\[50\],193.25µm
net225,193.25µm
net240,193.25µm
net345,193.25µm
net716,193.25µm
net781,193.25µm
net946,193.25µm
net1943,193.25µm
net2360,193.25µm
net2374,193.25µm
net2671,193.25µm
net2881,193.25µm
net1077,193.2µm
net2829,193.2µm
clknet_8_123__leaf_clk_IN,192.99µm
net686,192.89µm
net757,192.89µm
net3179,192.89µm
net798,192.84µm
net1623,192.84µm
_03303_,192.79µm
net52,192.79µm
net1656,192.79µm
net2010,192.79µm
net2541,192.79µm
net2923,192.79µm
_06633_,192.74µm
_06690_,192.74µm
u_core.u_master.u_slave.u_core.B4\[24\],192.74µm
net389,192.74µm
net608,192.74µm
_05953_,192.69µm
net56,192.69µm
net100,192.69µm
net365,192.69µm
net2245,192.69µm
net2421,192.69µm
net2807,192.69µm
net411,192.64µm
net689,192.64µm
net1547,192.41µm
net1880,192.28µm
net197,192.18µm
net267,192.18µm
net889,192.18µm
net1878,192.18µm
net578,192.13µm
net603,192.13µm
net630,192.13µm
net1929,192.13µm
net2451,192.13µm
net251,192.08µm
net871,192.08µm
net1624,192.08µm
net1979,192.08µm
net2311,192.08µm
clknet_8_185__leaf_clk_IN,191.87µm
net1980,191.85µm
clknet_8_222__leaf_clk_IN,191.82µm
net481,191.77µm
net1696,191.77µm
clknet_8_211__leaf_clk_IN,191.77µm
u_core.u_master.u_slave.u_core.S4\[7\],191.72µm
net62,191.72µm
net511,191.72µm
net394,191.67µm
net776,191.67µm
net2822,191.67µm
_04808_,191.62µm
u_core.u_master.u_slave.u_core.B2\[63\],191.62µm
net873,191.62µm
net962,191.62µm
net3514,191.62µm
u_core.u_master.u_slave.u_core.S1\[35\],191.57µm
net20,191.57µm
net85,191.57µm
net128,191.57µm
net1549,191.57µm
net1556,191.57µm
net2530,191.57µm
net2784,191.57µm
net3188,191.57µm
net1557,191.52µm
net1899,191.52µm
net2249,191.52µm
u_core.u_master.u_slave.u_core.S0\[35\],191.21µm
net1823,191.21µm
net2043,191.21µm
net2988,191.17µm
u_core.u_master.u_slave.u_core.B2\[38\],191.16µm
net1874,191.16µm
net3414,191.16µm
net229,191.11µm
net1670,191.11µm
net1904,191.11µm
net2931,191.11µm
net3261,191.11µm
u_core.u_master.u_slave.u_core.ci\[1\],191.06µm
net602,191.06µm
net376,191.01µm
